Manufacturer	Model	Type	Status	Size [in]	Re [ohm]	fs [Hz]	Qms	Qes	Qts	Rms [Ns/m]	Mms [g]	Cms [mm/N]	Vas [l]	Sd [cm2]	BL [Tm]	Pmax [W]	Xmax [mm]	Beta	Z1k [ohm]	Z10k [ohm]	Le [mH]	Leb [mH]	Ke [sH]	Rss [ohm]	USPL [dB]	BL²/Re	Revision	Updated
AE Speakers	Dipole15	S		15	12.3	21.7	15.2	1	0.94	0.81	90	0.7	623	855	12.2	200	12	0			0.15				88.2	12.1		
AE Speakers	TD15H	S		15	6.5	21	4.23	0.27	0.26	4	129	0.45	467	855	20.1	500	14				0.3				94.9	62.16		
AE Speakers	TD15M			15	6.6	34.7	5.09	0.35	0.33	3	70	0.3	312	855	17	500	6				0.2				98.5	43.79		
AE Speakers	TD15S	S		15	5.3	22.8	3.87	0.41	0.37	4	108	0.45	467	855	14.1	500	14	0			0.3				95.1	37.51		
AE Speakers	TD15X	S		15	5.6	23.2	3.82	0.31	0.28	4	105	0.45	467	855	16.7	500	14	0			0.3				96.3	49.8		
ASE	18WN225-08				5.7	47	2.8	0.42	0.37	1.385	13.1	0.873	25	143	7.26	60	3		8	18					91.4	9.25		2017-07-01/Data import
ASE	M21WO39-08				5.5	28	1.97	0.35	0.3	2.125	23.8	1.358	105	235	8.11	80	6		12	30					91.8	11.96		2017-07-01/Data import
ASE	MG18WJ09-08				5.6	49	7.58	0.46	0.43	0.563	13.9	0.761	20	137	7.21	60	4.2		8	18					90.6	9.28		2017-07-01/Data import
ASE	XW18 325-8				5.8	40	5.87	0.39	0.37	0.451	10.5	1.502	35	129	6.28	60	4.5		8	18					91	6.8		2017-07-01/Data import
Atomic	1050			10	3.7	32.9	2.82	0.46	0.4	3.17	43.3	0.54	68.1	300	8.46	250	2.75				1.08				92.6	19.34		
Atomic	1094			10	3.9	34.2	2.88	0.6	0.5	4.46	59.8	0.36	45.6	300	9.11	400	5.25				1.19				89.9	21.28		
